Epoch,Loss,PSNR,
1,0.22155591,15.05127638,
2,0.110114407,16.32145574,
3,0.100661012,17.7055327,25.64383278
4,0.087368511,18.38184541,0.038845948
5,0.083926872,18.761892,
6,0.079290272,19.12344291,
7,0.076027696,19.48735694,
8,0.076668255,19.74114291,
9,0.071009457,19.83303485,
10,0.071741357,20.08206411,
11,0.069996734,19.86859216,
12,0.069231525,20.30918645,
13,0.066961059,20.43036837,
14,0.067591868,20.62385136,
15,0.070639837,20.60344998,
16,0.069216412,20.74875062,
17,0.06403576,20.92293627,
18,0.063687873,20.99905592,
19,0.064938833,21.09470486,
20,0.061205651,21.12856156,
21,0.061552162,21.24222846,
22,0.060921901,21.37988192,
23,0.059244162,21.50844906,
24,0.058148898,21.68695788,
25,0.060225972,21.57460076,
26,0.058790512,21.8081528,
27,0.058607215,21.88889255,
28,0.060306748,21.23318519,
29,0.057406868,22.0593754,
30,0.057919043,21.90694655,
31,0.061234683,21.42396599,
32,0.05752862,21.8656413,
33,0.056524838,22.19697469,
34,0.055131513,22.19980287,
35,0.056913646,22.20286297,
36,0.056611005,22.39729177,
37,0.056311711,21.48020106,
38,0.060151024,22.18505178,
39,0.058482537,22.49903633,
40,0.054559445,22.52952737,
41,0.053823497,22.53727589,
42,0.055327157,22.48611478,
43,0.053504742,22.63141728,
44,0.054373616,22.6837292,
45,0.053696642,22.77562868,
46,0.054188072,22.75433788,
47,0.055912807,22.86798289,
48,0.052229586,22.83030966,
49,0.05282404,22.82634851,
50,0.052255263,22.70220859,
51,0.053499094,22.67664814,
52,0.053595874,22.96705081,
53,0.053683265,22.94815237,
54,0.05080431,22.86474459,
55,0.052546414,22.78166756,
56,0.054007496,22.77477323,
57,0.053686011,23.14945275,
58,0.053975278,22.70721322,
59,0.053165048,23.0530782,
60,0.050244611,23.16067049,
61,0.051506198,23.14885268,
62,0.053057481,23.0571975,
63,0.05032914,23.20053549,
64,0.050790811,23.043232,
65,0.050014431,23.28783816,
66,0.05134281,23.28020047,
67,0.052567471,23.30290071,
68,0.050689572,23.4547063,
69,0.049854429,23.41836596,
