Epoch,Loss,PSNR
1,0.23885089695453643,16.24019917834829
2,0.10818660229444504,16.556188135562426
3,0.10206521034240723,17.050467781702096
4,0.09411426991224289,17.90577909962984
5,0.08917962193489075,17.74630196606212
6,0.08767643928527832,18.246082708612196
7,0.08497714042663575,18.371760864961526
8,0.08747604608535767,18.407978438625353
9,0.08356746882200242,18.315340670840303
10,0.08307586431503296,18.774560183946992
11,0.07989836186170578,18.897730639502374
12,0.07885531187057496,19.005647719749366
13,0.0783329001069069,19.1258277138101
14,0.0788373026251793,19.23156290146194
15,0.07906000703573227,19.200034234409504
16,0.07859149187803269,19.344746207575632
17,0.07622251376509666,19.375774432009997
18,0.07737145990133286,19.422237802023226
19,0.07690618395805358,19.404860145725646
20,0.07444051623344422,19.568808537061344
21,0.07459914743900299,19.616718339154815
22,0.07311862319707871,19.61173473682168
23,0.0762535099685192,19.403284809345617
24,0.0746849898993969,19.61321639303104
25,0.07498628720641136,19.667235669451273
26,0.07327079758048058,19.741628670962168
27,0.07389874398708343,19.743241780051008
28,0.07482724636793137,19.704952806772635
29,0.07230122163891792,19.78319035480855
30,0.07388190031051636,19.647918084952316
31,0.07189353764057159,19.75731336728646
32,0.07206975191831588,19.77199756117628
33,0.07231508880853653,19.84340835978765
34,0.07119067624211312,19.858830158373497
35,0.07239090532064438,19.897784571807584
36,0.07144304901361466,19.844928169452576
37,0.07228921413421631,19.486924907673636
38,0.07315193623304367,19.91531111514716
39,0.07206542655825615,20.014225237539964
40,0.06920683339238166,20.08548233476428
41,0.07029923334717751,19.508123346920346
42,0.07088390111923218,20.125941035893046
43,0.06816122576594352,20.231074534783044
44,0.0677388796210289,19.96038925211825
45,0.06985035359859466,20.29461580983114
46,0.06896622195839881,20.298979889491132
47,0.06880450531840325,20.238702772682032
48,0.06741048157215118,20.33796612462481
49,0.0673210321366787,20.354273826444555
50,0.06749318853020668,20.282892122956824
51,0.06587232321500779,20.381470249588972
52,0.06732716932892799,20.396761426404012
53,0.06785421371459961,20.435589471928978
54,0.0654138046503067,20.41308657667233
55,0.06849976316094399,20.344816527539937
56,0.06735809236764907,20.434424064788104
57,0.06614152118563651,20.429740313930708
58,0.06711182311177254,20.491201520003113
59,0.06761900201439858,20.372620520827642
